M_kNm,P_kN,caso,cumple,elemento,extremo,muro_origen,piso,tipo
1652.9780914731543,31.837584410055,R,True,805,,8,5,MURO
-18.562319437961037,1195.5581285056658,R,True,901,,9,1,MURO
444.41119610888234,952.5702186067679,R,True,902,,9,2,MURO
480.0398604189276,711.0220666837434,R,True,903,,9,3,MURO
210.2350651502879,310.54148740363723,R,True,904,,9,4,MURO
-12.601413633878565,-279.7519612898811,R,True,905,,9,5,MURO
-3317.2008437106124,1720.7719750396923,R,True,1002,,10,2,MURO
-4347.472402817841,1284.426965865027,R,True,1003,,10,3,MURO
-3474.6345594874197,560.9781658836831,R,True,1004,,10,4,MURO
-5740.190558886189,-388.4007619585079,R,True,1005,,10,5,MURO
-17.018144345694736,1096.0974383157559,R,True,1101,,11,1,MURO
407.4398112273212,873.3241659247785,R,True,1102,,11,2,MURO
440.10451714314075,651.8708266498801,R,True,1103,,11,3,MURO
192.74525267035054,284.70696728521773,R,True,1104,,11,4,MURO
312.7756437507003,39.31976317500023,R,True,1105,,11,5,MURO
-17.018143115048815,1096.0974609260281,R,True,1201,,12,1,MURO
407.43985460461926,873.3241732028524,R,True,1202,,12,2,MURO
440.10457367895975,651.8708292482902,R,True,1203,,12,3,MURO
192.74530174101244,284.70697452062495,R,True,1204,,12,4,MURO
432.7321544392199,505.19502146350897,R,True,1205,,12,5,MURO
-36.557636093877136,2354.579708058136,R,True,1301,,13,1,MURO
875.2409926984619,1876.0295003962988,R,True,1302,,13,2,MURO
945.4104036417955,1400.315192363307,R,True,1303,,13,3,MURO
-957.9855090191896,1841.2346053220788,R,True,1304,,13,4,MURO
2254.6549808967275,1046.2075841730368,R,True,1305,,13,5,MURO
58.561209131022,1104.216709187278,R,True,1401,,14,1,MURO
-1696.0124179785703,879.7932277271652,R,True,1402,,14,2,MURO
-2222.7677600344914,656.6995022655352,R,True,1403,,14,3,MURO
-1776.5048389001818,286.81590814341826,R,True,1404,,14,4,MURO
-2228.5303945085716,96.56973897976866,R,True,1405,,14,5,MURO
-9.958783513641094,641.4199945549086,R,True,1501,,15,1,MURO
238.4277708837388,511.05634681983554,R,True,1502,,15,2,MURO
257.54267519079684,381.4651506167729,R,True,1503,,15,3,MURO
112.79170051564655,166.60629624646214,R,True,1504,,15,4,MURO
252.35617415563078,-336.91629600963506,R,True,1505,,15,5,MURO
-9.95879835291035,641.4200016210677,R,True,1601,,16,1,MURO
238.42773649525725,511.05635866001614,R,True,1602,,16,2,MURO
257.5426178346178,381.465151461267,R,True,1603,,16,3,MURO
112.79163462747971,166.60630253691008,R,True,1604,,16,4,MURO
72.23745894050553,325.97626349986535,R,True,1605,,16,5,MURO
48.226912864023234,909.3549009707651,R,True,1701,,17,1,MURO
463.5668282546119,865.8679336396609,R,True,1801,,18,1,MURO
-112.95609252280713,1106.434435890296,R,True,1901,,19,1,MURO
-90.89134539070528,3505.786974441096,R,True,2001,,20,1,MURO
-2619.965675011704,2553.7017456231342,R,True,2101,,21,1,MURO
-1930.5975512711398,1520.3046173167502,R,True,2201,,22,1,MURO
-11483.940826332058,2642.6961154703504,R,True,2302,,23,2,MURO
3369.9099354529917,2272.8275383922246,R,True,2402,,24,2,MURO
1.0933771109591843,515.3412769447593,G,True,1,i,,,COLUMNA
